maker,model,powertrain,electric_wh_per_km,fuel,hydrogen_km_per_kg,engine,price,inspection
Toyota,PRIUS "G",phev,134,26,0,1.986,3847300,115000
Toyota,PRIUS "Z",phev,134,26,0,1.986,4608900,115000
Toyota,RAV4 "Z",phev,151,22.2,0,2.487,6000000,120000
Toyota,RAV4 "GR SPORT",phev,145,21.5,0,2.487,6300000,120000
Toyota,HARRIER "G",phev,160,20.5,0,2.487,5470300,130000
Toyota,HARRIER "Z",phev,160,20.5,0,2.487,6260100,130000
Toyota,bZ4X "G",bev,111,0,0,0,4800000,100000
Toyota,bZ4X "Z" FWD,bev,113,0,0,0,5500000,100000
Toyota,bZ4X "Z" 4WD,bev,121,0,0,0,6000000,100000
Toyota,bZ4X Touring "Z" FWD,bev,114,0,0,0,5750000,100000
Toyota,bZ4X Touring "Z" 4WD,bev,121,0,0,0,6400000,100000
Toyota,CROWN "Z",fcv,0,0,148,0,8300000,140000
Toyota,CROWN SPORT "RS",phev,165,20.3,0,2.487,7650000,145000
Toyota,CROWN ESTATE "RS",phev,167,20.0,0,2.487,8100000,145000
Toyota,ALPHARD "Executive Lounge PLUG-IN HYBRID",phev,209,16.7,0,2.487,10650000,150000
Toyota,VELLFIRE "Executive Lounge PLUG-IN HYBRID",phev,209,16.7,0,2.487,10850000,150000
Toyota,CENTURY,phev,213,14.2,0,3.456,27000000,250000
Lexus,NX 450h+ "OVERTRAIL",phev,172,19.6,0,2.487,7725000,130000
Lexus,NX 450h+ "F SPORT",phev,172,19.6,0,2.487,7585000,130000
Lexus,NX 450h+ "version L",phev,172,19.6,0,2.487,7495000,135000
Lexus,RX 450h+ "version L",phev,177,18.7,0,2.487,8870000,140000
Lexus,RZ 350e "version L",bev,733,0,0,0,7900000,95000
Lexus,RZ 500e "version L",bev,579,0,0,0,8500000,95000
Lexus,RZ 500e "F SPORT",bev,582,0,0,0,9500000,95000
Honda,N-ONE e: "G",bev,105,0,0,0,2699400,80000
Honda,N-ONE e: "L",bev,105,0,0,0,3198800,80000
Honda,N-VAN e: "L4",bev,127,0,0,0,2699400,80000
Honda,N-VAN e: "FUN",bev,127,0,0,0,2919400,80000
Nissan,ARIYA "B6",bev,166,0,0,0,6675900,80000
Nissan,ARIYA "B6 e-4ORCE",bev,169,0,0,0,7280900,80000
Nissan,ARIYA "B9",bev,169,0,0,0,7467900,80000
Nissan,ARIYA "B9 e-4ORCE",bev,171,0,0,0,8072900,80000
Nissan,ARIYA "NISMO B6 e-4ORCE",bev,166,0,0,0,8498600,80000
Nissan,ARIYA "NISMO B9 e-4ORCE",bev,169,0,0,0,9510600,80000
Nissan,LEAF "B5 S",bev,118,0,0,0,4389000,80000
Nissan,LEAF "B5 X",bev,131,0,0,0,4738800,80000
Nissan,LEAF "B5 G",bev,131,0,0,0,5648500,80000
Nissan,LEAF "B7 X",bev,130,0,0,0,5188700,80000
Nissan,LEAF "B7 G",bev,133,0,0,0,5999400,80000
Nissan,SAKURA "X",bev,124,0,0,0,2599300,80000
Nissan,SAKURA "G",bev,124,0,0,0,3082200,80000
Mazda,CX-60 "PHEV Premium Sports",phev,253,14.3,2.488,0,6495500,135000
Mazda,CX-60 "PHEV Premium Modern",phev,253,14.3,2.488,0,6495500,135000
Mazda,CX-80 "PHEV Premium Sports",phev,292,12.9,2.488,0,7144500,140000
Mazda,CX-80 "PHEV Premium Modern",phev,292,12.9,2.488,0,7144500,140000
Suzuki,e-Vitara X,bev,153.85,0,0,0,3990000,80000
Suzuki,e-Vitara G,bev,153.85,0,0,0,4490000,80000
Suzuki,e-Every,bev,153.85,0,0,0,3150000,80000
Mitsubishi,eK Cross EV X,bev,153.85,0,0,0,2570000,80000
Mitsubishi,eK Cross EV G,bev,153.85,0,0,0,2770000,80000
Mitsubishi,Eclipse Cross PHEV X,phev,172.41,16.5,0,0,4090000,110000
Mitsubishi,Eclipse Cross PHEV G,phev,172.41,16.5,0,0,4490000,110000
Mitsubishi,Outlander PHEV X,phev,172.41,18,0,0,5290000,120000
Mitsubishi,Outlander PHEV G,phev,172.41,18,0,0,5790000,120000
